batch_name,sample_name,remote_sample_name,remote_batch_name,remote_batch_id
,site.ENA.subj.SAMEA104394706.lab.1.iso.1,11cfa14a-6e4c-4c06-85c4-ff65b0f0753b,sap4nc,6d77e219-82c8-4edd-9d59-fed656f3be85
,site.ENA.subj.SAMN08215132.lab.1.iso.1,ccc5d25f-9fcf-4fba-afc2-9cccaecec0d2,sap4nc,6d77e219-82c8-4edd-9d59-fed656f3be85
,site.ENA.subj.SAMN03647408.lab.1.iso.1,8ab9e9d2-fd7a-49a4-be7c-b8c4c1ef1546,sap4nc,6d77e219-82c8-4edd-9d59-fed656f3be85
,site.ENA.subj.SAMN03647375.lab.1.iso.1,6f8054a3-cbb3-4b2b-8cb4-b5fb62d18446,sap4nc,6d77e219-82c8-4edd-9d59-fed656f3be85
,site.ENA.subj.SAMEA2533964.lab.1.iso.1,17c9fa46-a710-47a2-b229-22fedccaab85,sap4nc,6d77e219-82c8-4edd-9d59-fed656f3be85
,site.ENA.subj.SAMEA2533964.lab.1.iso.1,846368fb-a5da-4fb3-8035-c334d29dc3c2,sap4nc,6d77e219-82c8-4edd-9d59-fed656f3be85
,site.ENA.subj.SAMEA2534826.lab.1.iso.1,10849b89-de9c-4bf5-b540-b951eb0cbe47,sap4nc,6d77e219-82c8-4edd-9d59-fed656f3be85
,site.ENA.subj.SAMN07659526.lab.1.iso.1,518dcc56-71be-47ca-8c9d-015a03b8b1d4,sap4nc,6d77e219-82c8-4edd-9d59-fed656f3be85
,site.ENA.subj.SAMN03647630.lab.1.iso.1,857e67ba-2a70-4f86-9f46-91bd414ca452,sap4nc,6d77e219-82c8-4edd-9d59-fed656f3be85
,site.ENA.subj.SAMEA1707144.lab.1.iso.1,0bd91012-d247-4347-85bc-c42ef8f6c9eb,sap4nc,6d77e219-82c8-4edd-9d59-fed656f3be85
,site.ENA.subj.SAMEA2533489.lab.1.iso.1,13989569-04c4-447e-9651-c5ea523b2d32,sap4nc,6d77e219-82c8-4edd-9d59-fed656f3be85
,site.ENA.subj.SAMN07236258.lab.1.iso.1,fc0265e1-ad38-4bc8-a015-64a6d2833dfd,sap4nc,6d77e219-82c8-4edd-9d59-fed656f3be85
,site.ENA.subj.SAMEA961598.lab.1.iso.1,c3d21786-ec13-4136-832e-bcbca1867780,sap4nc,6d77e219-82c8-4edd-9d59-fed656f3be85
,site.ENA.subj.SAMEA961579.lab.1.iso.1,6b0df516-bef9-4e4a-89f6-ad5a70187d47,sap4nc,6d77e219-82c8-4edd-9d59-fed656f3be85
,site.ENA.subj.SAMN05276318.lab.1.iso.1,b2bfcb23-b6d0-47cc-bf00-9a92c1d60e73,sap4nc,6d77e219-82c8-4edd-9d59-fed656f3be85
